No,구분,발급일자,시험번호,시험명,업체명,해당팀,비고,접수일자,접수번호,작성자(PL),시작일,종료일,업체명,시료명
47,성적서,2025-02-13 0:00,GS-A-25-0008,GS,(주)투비유니콘,영남소프트웨어시험센터,,2025-01-10 0:00,25-00206,전지은,2025-02-13 0:00,2025-02-13 0:00,(주)투비유니콘,교육용 항공우주 키트 시스템 v1.0(Educational Aerospace Kit System v1.0) v1.0
48,성적서,2025-02-14 0:00,GS-C-25-0006,GS,(주)메디픽셀,영남소프트웨어시험센터,,2025-01-23 0:00,25-00441,전지은,2025-02-14 0:00,2025-02-14 0:00,(주)메디픽셀,엠피엑스에이 v1.0
49,성적서,2025-02-17 0:00,GS-C-25-0004,GS,단디소프트 주식회사,영남소프트웨어시험센터,,2025-01-17 0:00,25-00323,김민우,2025-02-17 0:00,2025-02-17 0:00,단디소프트 주식회사,DD 열차운전안내장치 v1.0
50,성적서,2025-02-19 0:00,GS-C-25-0007,GS,(주)투비유니콘,영남소프트웨어시험센터,,2025-01-23 0:00,25-00442,황현후,2025-02-19 0:00,2025-02-19 0:00,(주)투비유니콘,노크 I
51,성적서,2025-02-20 0:00,GS-C-24-0085,GS,㈜티노,영남소프트웨어시험센터,,2024-11-05 0:00,24-04591,전지은,2025-02-20 0:00,2025-02-20 0:00,㈜티노,"Xcaster Live Cut pro AI, AI 방송 통합제어솔루션 v11.0"
52,성적서,2025-02-21 0:00,GS-C-25-0005,GS,(주)플랜아이,영남소프트웨어시험센터,,2025-01-17 0:00,25-00324,이진협,2025-02-21 0:00,2025-02-21 0:00,(주)플랜아이,anuta canvas v1.0
53,성적서,2025-02-26 0:00,GS-C-25-0008,GS,(주)메사쿠어컴퍼니,영남소프트웨어시험센터,,2025-02-06 0:00,25-00559,이진협,2025-02-26 0:00,2025-02-26 0:00,(주)메사쿠어컴퍼니,UFACE v3.0
54,성적서,2025-03-05 0:00,GS-C-25-0009,GS,주식회사 퍼스트아이티,영남소프트웨어시험센터,,2025-02-11 0:00,25-00646,이진협,2025-03-05 0:00,2025-03-05 0:00,주식회사 퍼스트아이티,EduClassPro(에듀클래스프로) V3.0
55,성적서,2025-03-11 0:00,GS-C-25-0001,GS,에이존테크(주),영남소프트웨어시험센터,,2025-01-05 0:00,25-00077,김민우,2025-03-11 0:00,2025-03-11 0:00,에이존테크(주),안부 v1.0
56,성적서,2025-03-12 0:00,GS-C-25-0012,GS,㈜엠쓰리솔루션,영남소프트웨어시험센터,,2025-02-20 0:00,25-00743,전지은,2025-03-12 0:00,2025-03-12 0:00,㈜엠쓰리솔루션,베러코그 테이블형 키오스크 v1.0
